U+000000 uni0000
U+000001 cid00001
U+000002 uni0002
U+000003 cid00001
U+000004 cid00001
U+000005 cid00001
U+000006 cid00001
U+000007 cid00001
U+000008 cid00001
U+000009 uni0009
U+00000a cid00001
U+00000b cid00001
U+00000c cid00001
U+00000d uni000D
U+00000e cid00001
U+00000f cid00001
U+000010 cid00001
U+000011 cid00001
U+000012 cid00001
U+000013 cid00001
U+000014 cid00001
U+000015 cid00001
U+000016 cid00001
U+000017 cid00001
U+000018 cid00001
U+000019 cid00001
U+00001a cid00001
U+00001b cid00001
U+00001c cid00001
U+00001d cid00001
U+00001e cid00001
U+00001f cid00001
U+000020 space
U+000021 exclam
U+000022 quotedbl
U+000023 numbersign
U+000024 dollar
U+000025 percent
U+000026 ampersand
U+000027 quotesingle
U+000028 parenleft
U+000029 parenright
U+00002a asterisk
U+00002b plus
U+00002c comma
U+00002d hyphen
U+00002e period
U+00002f slash
U+000030 zero
U+000031 one
U+000032 two
U+000033 three
U+000034 four
U+000035 five
U+000036 six
U+000037 seven
U+000038 eight
U+000039 nine
U+00003a colon
U+00003b semicolon
U+00003c less
U+00003d equal
U+00003e greater
U+00003f question
U+000040 at
U+000041 A
U+000042 B
U+000043 C
U+000044 D
U+000045 E
U+000046 F
U+000047 G
U+000048 H
U+000049 I
U+00004a J
U+00004b K
U+00004c L
U+00004d M
U+00004e N
U+00004f O
U+000050 P
U+000051 Q
U+000052 R
U+000053 S
U+000054 T
U+000055 U
U+000056 V
U+000057 W
U+000058 X
U+000059 Y
U+00005a Z
U+00005b bracketleft
U+00005c backslash
U+00005d bracketright
U+00005e asciicircum
U+00005f underscore
U+000060 grave
U+000061 a
U+000062 b
U+000063 c
U+000064 d
U+000065 e
U+000066 f
U+000067 g
U+000068 h
U+000069 i
U+00006a j
U+00006b k
U+00006c l
U+00006d m
U+00006e n
U+00006f o
U+000070 p
U+000071 q
U+000072 r
U+000073 s
U+000074 t
U+000075 u
U+000076 v
U+000077 w
U+000078 x
U+000079 y
U+00007a z
U+00007b braceleft
U+00007c bar
U+00007d braceright
U+00007e asciitilde
U+000091 uni0091
U+000092 uni0092
U+000093 uni0093
U+000094 uni0094
U+00009a uni009A
U+00009b uni009B
U+00009d uni009D
U+0000a0 uni00A0
U+0000a1 exclamdown
U+0000a2 cent
U+0000a3 sterling
U+0000a4 currency
U+0000a5 yen
U+0000a6 brokenbar
U+0000a7 section
U+0000a8 dieresis
U+0000a9 copyright
U+0000aa ordfeminine
U+0000ab guillemotleft
U+0000ac logicalnot
U+0000ad uni00AD
U+0000ae registered
U+0000af macron
U+0000b0 degree
U+0000b1 plusminus
U+0000b2 uni00B2
U+0000b3 uni00B3
U+0000b4 acute
U+0000b5 mu
U+0000b6 paragraph
U+0000b7 periodcentered
U+0000b8 cedilla
U+0000b9 uni00B9
U+0000ba ordmasculine
U+0000bb guillemotright
U+0000bc onequarter
U+0000bd onehalf
U+0000be threequarters
U+0000bf questiondown
U+0000c0 Agrave
U+0000c1 Aacute
U+0000c2 Acircumflex
U+0000c3 Atilde
U+0000c4 Adieresis
U+0000c5 Aring
U+0000c6 AE
U+0000c7 Ccedilla
U+0000c8 Egrave
U+0000c9 Eacute
U+0000ca Ecircumflex
U+0000cb Edieresis
U+0000cc Igrave
U+0000cd Iacute
U+0000ce Icircumflex
U+0000cf Idieresis
U+0000d0 Eth
U+0000d1 Ntilde
U+0000d2 Ograve
U+0000d3 Oacute
U+0000d4 Ocircumflex
U+0000d5 Otilde
U+0000d6 Odieresis
U+0000d7 multiply
U+0000d8 Oslash
U+0000d9 Ugrave
U+0000da Uacute
U+0000db Ucircumflex
U+0000dc Udieresis
U+0000dd Yacute
U+0000de Thorn
U+0000df germandbls
