U+000000 uni0000
U+000009 uni0009
U+00000a uni000A
U+00000d uni000D
U+000020 space
U+000021 exclam
U+000022 quotedbl
U+000023 numbersign
U+000024 dollar
U+000025 percent
U+000026 ampersand
U+000027 quotesingle
U+000028 parenleft
U+000029 parenright
U+00002a asterisk
U+00002b plus
U+00002c comma
U+00002d hyphen
U+00002e period
U+00002f slash
U+000030 zero
U+000031 one
U+000032 two
U+000033 three
U+000034 four
U+000035 five
U+000036 six
U+000037 seven
U+000038 eight
U+000039 nine
U+00003a colon
U+00003b semicolon
U+00003c less
U+00003d equal
U+00003e greater
U+00003f question
U+000040 at
U+000041 A
U+000042 B
U+000043 C
U+000044 D
U+000045 E
U+000046 F
U+000047 G
U+000048 H
U+000049 I
U+00004a J
U+00004b K
U+00004c L
U+00004d M
U+00004e N
U+00004f O
U+000050 P
U+000051 Q
U+000052 R
U+000053 S
U+000054 T
U+000055 U
U+000056 V
U+000057 W
U+000058 X
U+000059 Y
U+00005a Z
U+00005b bracketleft
U+00005c backslash
U+00005d bracketright
U+00005e asciicircum
U+00005f underscore
U+000060 grave
U+000061 a
U+000062 b
U+000063 c
U+000064 d
U+000065 e
U+000066 f
U+000067 g
U+000068 h
U+000069 i
U+00006a j
U+00006b k
U+00006c l
U+00006d m
U+00006e n
U+00006f o
U+000070 p
U+000071 q
U+000072 r
U+000073 s
U+000074 t
U+000075 u
U+000076 v
U+000077 w
U+000078 x
U+000079 y
U+00007a z
U+00007b braceleft
U+00007c bar
U+00007d braceright
U+00007e asciitilde
U+0000a0 uni00A0
U+0000a1 exclamdown
U+0000a2 cent
U+0000a3 sterling
U+0000a4 currency
U+0000a5 yen
U+0000a6 brokenbar
U+0000a7 section
U+0000a8 dieresis
U+0000a9 copyright
U+0000aa ordfeminine
U+0000ab guillemotleft
U+0000ac logicalnot
U+0000ad uni00AD
U+0000ae registered
U+0000af macron
U+0000b0 degree
U+0000b1 plusminus
U+0000b2 uni00B2
U+0000b3 uni00B3
U+0000b4 acute
U+0000b5 mu
U+0000b6 paragraph
U+0000b7 periodcentered
U+0000b8 cedilla
U+0000b9 uni00B9
U+0000ba ordmasculine
U+0000bb guillemotright
U+0000bc onequarter
U+0000bd onehalf
U+0000be threequarters
U+0000bf questiondown
U+0000c0 Agrave
U+0000c1 Aacute
U+0000c2 Acircumflex
U+0000c3 Atilde
U+0000c4 Adieresis
U+0000c5 Aring
U+0000c6 AE
U+0000c7 Ccedilla
U+0000c8 Egrave
U+0000c9 Eacute
U+0000ca Ecircumflex
U+0000cb Edieresis
U+0000cc Igrave
U+0000cd Iacute
U+0000ce Icircumflex
U+0000cf Idieresis
U+0000d0 Eth
U+0000d1 Ntilde
U+0000d2 Ograve
U+0000d3 Oacute
U+0000d4 Ocircumflex
U+0000d5 Otilde
U+0000d6 Odieresis
U+0000d7 multiply
U+0000d8 Oslash
U+0000d9 Ugrave
U+0000da Uacute
U+0000db Ucircumflex
U+0000dc Udieresis
U+0000dd Yacute
U+0000de Thorn
U+0000df germandbls
U+0000e0 agrave
U+0000e1 aacute
U+0000e2 acircumflex
U+0000e3 atilde
U+0000e4 adieresis
U+0000e5 aring
U+0000e6 ae
U+0000e7 ccedilla
U+0000e8 egrave
U+0000e9 eacute
U+0000ea ecircumflex
U+0000eb edieresis
U+0000ec igrave
U+0000ed iacute
U+0000ee icircumflex
U+0000ef idieresis
U+0000f0 eth
U+0000f1 ntilde
U+0000f2 ograve
U+0000f3 oacute
U+0000f4 ocircumflex
U+0000f5 otilde
U+0000f6 odieresis
U+0000f7 divide
U+0000f8 oslash
U+0000f9 ugrave
U+0000fa uacute
U+0000fb ucircumflex
U+0000fc udieresis
U+0000fd yacute
U+0000fe thorn
U+0000ff ydieresis
U+000100 Amacron
U+000101 amacron
U+000102 Abreve
U+000103 abreve
U+000104 Aogonek
U+000105 aogonek
U+000106 Cacute
U+000107 cacute
U+000108 Ccircumflex
U+000109 ccircumflex
U+00010a Cdotaccent
U+00010b cdotaccent
U+00010c Ccaron
U+00010d ccaron
U+00010e Dcaron
U+00010f dcaron
U+000110 Dcroat
U+000111 dcroat
U+000112 Emacron
U+000113 emacron
U+000114 Ebreve
U+000115 ebreve
U+000116 Edotaccent
U+000117 edotaccent
U+000118 Eogonek
U+000119 eogonek
U+00011a Ecaron
U+00011b ecaron
U+00011c Gcircumflex
U+00011d gcircumflex
U+00011e Gbreve
U+00011f gbreve
U+000120 Gdotaccent
U+000121 gdotaccent
U+000122 uni0122
U+000123 uni0123
U+000124 Hcircumflex
U+000125 hcircumflex
U+000126 Hbar
U+000127 hbar
U+000128 Itilde
U+000129 itilde
U+00012a Imacron
U+00012b imacron
U+00012c Ibreve
U+00012d ibreve
U+00012e Iogonek
U+00012f iogonek
U+000130 Idotaccent
U+000131 dotlessi
U+000132 IJ
U+000133 ij
U+000134 Jcircumflex
U+000135 jcircumflex
U+000136 uni0136
U+000137 uni0137
U+000138 kgreenlandic
U+000139 Lacute
U+00013a lacute
U+00013b uni013B
U+00013c uni013C
U+00013d Lcaron
U+00013e lcaron
U+00013f Ldot
U+000140 ldot
U+000141 Lslash
U+000142 lslash
U+000143 Nacute
U+000144 nacute
U+000145 uni0145
U+000146 uni0146
U+000147 Ncaron
U+000148 ncaron
U+000149 napostrophe
U+00014a Eng
U+00014b eng
U+00014c Omacron
U+00014d omacron
U+00014e Obreve
U+00014f obreve
U+000150 Ohungarumlaut
U+000151 ohungarumlaut
U+000152 OE
U+000153 oe
U+000154 Racute
U+000155 racute
U+000156 uni0156
U+000157 uni0157
U+000158 Rcaron
U+000159 rcaron
U+00015a Sacute
U+00015b sacute
U+00015c Scircumflex
U+00015d scircumflex
U+00015e Scedilla
U+00015f scedilla
U+000160 Scaron
U+000161 scaron
U+000162 uni0162
U+000163 uni0163
U+000164 Tcaron
U+000165 tcaron
U+000166 Tbar
